 0 28 20 180 140 0.093645 0.017680  -0.021173 0.024576 -0.229661 0.015915 139.000000 
 1 28 22 180 140 0.012943 0.014441  -0.170047 0.020696 -0.206508 0.013054 134.800000 
 2 29 24 180 140 -0.094742 0.014045  -0.306660 0.023255 -0.163333 0.014179 130.700000 
 3 29 26 180 140 -0.208762 0.013228  -0.430515 0.019796 -0.146662 0.011335 126.600000 
 4 30 28 180 140 -0.262055 0.012752  -0.445542 0.015749 -0.140483 0.008739 122.600000 
