0.772	-0.427166	0.05697	-0.513018	0.0686058	-0.172431	0.10113	-1.63642	0.15
0.776	-0.377643	0.0238466	-0.426167	0.0294589	-0.117989	0.033583	-1.63237	0.15
0.78	-0.402463	0.0160538	-0.384383	0.0207541	-0.108326	0.0218903	-1.62603	0.15
0.784	-0.345296	0.013445	-0.39305	0.016624	-0.0561638	0.0155643	-1.62849	0.15
0.788	-0.356214	0.011091	-0.396285	0.0140521	-0.106301	0.0114098	-1.6285	0.15
0.792	-0.351748	0.00972799	-0.399615	0.012753	-0.112521	0.00866818	-1.62856	0.15
0.796	-0.315472	0.00834888	-0.435443	0.0110022	-0.10399	0.00665948	-1.63507	0.15
0.8	-0.29168	0.00755031	-0.440599	0.00995642	-0.104392	0.00567045	-1.63582	0.15
0.804	-0.259971	0.00808594	-0.437624	0.0105219	-0.109203	0.00600686	-1.63558	0.15
0.808	-0.198922	0.00845435	-0.405209	0.0110113	-0.110377	0.00631464	-1.63017	0.15
0.812	-0.184674	0.00883764	-0.376868	0.0116704	-0.129498	0.00662937	-1.62601	0.15
0.816	-0.0764498	0.00885186	-0.285609	0.0116428	-0.159834	0.00664043	-1.61027	0.15
0.82	-0.00386545	0.00852555	-0.188296	0.0114165	-0.203248	0.00650414	-1.59216	0.15
0.824	0.0612816	0.00868686	-0.0351112	0.0121995	-0.220379	0.00689705	-1.56621	0.15
0.828	0.105164	0.00909752	0.0338778	0.0137215	-0.272177	0.00763854	-1.55569	0.15
0.832	0.156932	0.010927	0.188667	0.0168616	-0.282533	0.00947082	-1.53055	0.15
0.836	0.225308	0.0134204	0.333232	0.0224171	-0.311939	0.0127653	-1.50694	0.15
0.84	0.196415	0.0202565	0.434658	0.0355908	-0.313634	0.0201184	-1.49203	0.15
0.844	0.261578	0.044644	0.311718	0.0744896	-0.273664	0.0411937	-1.49958	0.15
0.848	0.178444	0.172037	-0.796735	0.185359	-0.213557	0.0871039	-1.53957	0.15
0.772	-0.328568	0.0376671	-0.703654	0.0491139	0.134081	0.0461231	-1.65607	0.3
0.776	-0.365417	0.0202932	-0.482383	0.0278061	-0.0818646	0.0298608	-1.64304	0.3
0.78	-0.400881	0.015103	-0.439644	0.0196964	-0.0770992	0.0196576	-1.63562	0.3
0.784	-0.386176	0.0118515	-0.411154	0.0155392	-0.112435	0.014613	-1.6303	0.3
0.788	-0.350466	0.0104793	-0.404881	0.0133739	-0.109091	0.0108571	-1.62834	0.3
0.792	-0.340816	0.00932345	-0.403979	0.012161	-0.125737	0.00865133	-1.62863	0.3
0.796	-0.316449	0.00849583	-0.428146	0.0107849	-0.0908395	0.00673056	-1.6326	0.3
0.8	-0.282192	0.00778434	-0.412312	0.0101205	-0.0926027	0.00602374	-1.6312	0.3
0.804	-0.275874	0.00777339	-0.430351	0.0101137	-0.104701	0.00586034	-1.63367	0.3
0.808	-0.226739	0.00806682	-0.409397	0.0104128	-0.113701	0.00605318	-1.63045	0.3
0.812	-0.171409	0.00854089	-0.390851	0.0109873	-0.127145	0.00640124	-1.62806	0.3
0.816	-0.117597	0.00875016	-0.308168	0.0116131	-0.148958	0.00672259	-1.61359	0.3
0.82	-0.0431539	0.00944716	-0.197724	0.012897	-0.200853	0.00737406	-1.59607	0.3
0.824	-0.000867601	0.00993405	-0.143867	0.0138508	-0.212012	0.00780176	-1.58776	0.3
0.828	0.0687186	0.0107536	-0.0164858	0.015621	-0.259957	0.00887795	-1.56498	0.3
0.832	0.106697	0.0120851	0.139261	0.018371	-0.244309	0.0105622	-1.53881	0.3
0.836	0.205144	0.0121371	0.239157	0.0190698	-0.279266	0.0107605	-1.51939	0.3
0.84	0.192732	0.0120233	0.36716	0.0196958	-0.289595	0.0110672	-1.49856	0.3
0.844	0.189056	0.0179795	0.419408	0.032623	-0.307697	0.0181787	-1.49682	0.3
0.848	0.306986	0.072196	0.302501	0.134132	-0.351467	0.0718466	-1.50576	0.3
0.772	-0.423435	0.0421288	-0.438475	0.0651907	-0.118261	0.0669083	-1.63883	0.45
0.776	-0.412607	0.0244942	-0.395929	0.0328519	-0.0907592	0.0353261	-1.62921	0.45
0.78	-0.340856	0.0180169	-0.376406	0.0232183	-0.108485	0.0237502	-1.62574	0.45
0.784	-0.356738	0.0139861	-0.373953	0.0181003	-0.104748	0.0166006	-1.62359	0.45
0.788	-0.351436	0.0122124	-0.374017	0.0156469	-0.0957378	0.0129877	-1.624	0.45
0.792	-0.352588	0.0104295	-0.402983	0.0137808	-0.121602	0.00991527	-1.62865	0.45
0.796	-0.308365	0.0095407	-0.412275	0.0123138	-0.0915548	0.00797489	-1.63051	0.45
0.8	-0.297317	0.00866327	-0.436585	0.0113331	-0.102188	0.00685839	-1.63462	0.45
0.804	-0.256827	0.00847839	-0.447325	0.0109872	-0.0908712	0.00653915	-1.63701	0.45
0.808	-0.216054	0.00869097	-0.41601	0.011207	-0.110992	0.00657668	-1.63154	0.45
0.812	-0.195572	0.00921776	-0.38552	0.0120133	-0.128823	0.00699648	-1.62629	0.45
