!systematic errors 130 MeV
!th_cm  T11   Staterr(l)     Syserr       T22   Staterr(l)     Syserr       T20   Staterr(l)     Syserr    T21   Staterr(l)     Syserr      
70     -0.075    0.00578    0.0078421   -0.102    0.00239    0.0016583	   0.0489   0.0143     0.010329	  -0.124    0.0104     0.017095
75.6   -0.186    0.00618    0.0078421   -0.124    0.00226    0.0016583 	   0.0128   0.00414    0.010329	  -0.144    0.00877    0.017095
83.2   -0.275    0.0021     0.0078421   -0.136    0.000963   0.0016583	  -0.0479   0.000913   0.010329	  -0.216    0.00255    0.017095
89.2   -0.359    0.0026     0.0127867   -0.149    0.000831   0.0018027	  -0.121    0.00124    0.016101	  -0.238    0.00256    0.017698
95.2   -0.418    0.00289    0.0169485   -0.158    0.00104    0.0041833	  -0.204    0.00155    0.009   	  -0.267    0.00244    0.019091
101    -0.439    0.00289    0.0140268   -0.153    0.000773   0.0065574	  -0.301    0.00214    0.011412	  -0.254    0.00278    0.015960
111    -0.418    0.00339    0.0132759   -0.145    0.00112    0.0023452	  -0.443    0.00324    0.024346	  -0.214    0.00347    0.015945
119    -0.326    0.00337    0.0111018   -0.128    0.00123    0.0047434	  -0.49     0.00438    0.030716	  -0.151    0.00328    0.010897
