!  65.0  0.65473E+02  0.89618E+02  0.15509E+03
! th_cm       iT11         T20         T21         T22
    1.0  -0.2351E-04  0.1031E-02 -0.1094E-04  0.2667E-06
    2.0	 -0.1270E-03  0.4191E-02 -0.8681E-04  0.4264E-05
    3.0	 -0.9959E-04  0.9698E-02 -0.2866E-03  0.2099E-04
    4.0	  0.1198E-02  0.1736E-01 -0.6169E-03  0.5831E-04
    5.0	  0.7315E-02  0.2445E-01 -0.8380E-03  0.8539E-04
    6.0	  0.2439E-01  0.2196E-01 -0.1109E-03 -0.6527E-04
    7.0	  0.5050E-01  0.1974E-02  0.2289E-02 -0.6275E-03
    8.0	  0.7025E-01 -0.2261E-01  0.5121E-02 -0.1446E-02
    9.0	  0.7890E-01 -0.3803E-01  0.7085E-02 -0.2217E-02
   10.0	  0.8198E-01 -0.4514E-01  0.8262E-02 -0.2902E-02
   11.0	  0.8344E-01 -0.4789E-01  0.9019E-02 -0.3559E-02
   12.0	  0.8475E-01 -0.4862E-01  0.9575E-02 -0.4236E-02
   13.0	  0.8631E-01 -0.4844E-01  0.1003E-01 -0.4960E-02
   14.0	  0.8821E-01 -0.4782E-01  0.1041E-01 -0.5743E-02
   15.0	  0.9039E-01 -0.4699E-01  0.1075E-01 -0.6593E-02
   16.0	  0.9280E-01 -0.4606E-01  0.1105E-01 -0.7513E-02
   17.0	  0.9539E-01 -0.4506E-01  0.1130E-01 -0.8504E-02
   18.0	  0.9810E-01 -0.4403E-01  0.1151E-01 -0.9564E-02
   19.0	  0.1009E+00 -0.4297E-01  0.1167E-01 -0.1069E-01
   20.0	  0.1037E+00 -0.4189E-01  0.1178E-01 -0.1189E-01
   21.0	  0.1066E+00 -0.4080E-01  0.1185E-01 -0.1314E-01
   22.0	  0.1095E+00 -0.3968E-01  0.1186E-01 -0.1445E-01
   23.0	  0.1123E+00 -0.3854E-01  0.1182E-01 -0.1580E-01
   24.0	  0.1151E+00 -0.3738E-01  0.1172E-01 -0.1720E-01
   25.0	  0.1178E+00 -0.3619E-01  0.1157E-01 -0.1864E-01
   26.0	  0.1204E+00 -0.3497E-01  0.1136E-01 -0.2011E-01
   27.0	  0.1229E+00 -0.3372E-01  0.1109E-01 -0.2160E-01
   28.0	  0.1253E+00 -0.3243E-01  0.1076E-01 -0.2312E-01
   29.0	  0.1276E+00 -0.3110E-01  0.1037E-01 -0.2464E-01
   30.0	  0.1297E+00 -0.2972E-01  0.9925E-02 -0.2618E-01
   31.0	  0.1317E+00 -0.2830E-01  0.9410E-02 -0.2773E-01
