!Theory esults of 140 MeV NN nijm2
! th_cm       iT11         T20         T21         T22
0     0    -0.0296518   -0   0 
2.5     0.0126838    -0.0294864   0.0011368   -0.000249993 
5     0.0252784    -0.02899   0.0022101   -0.000997084 
7.5     0.0376972    -0.0281619   0.00315522   -0.00223117 
10     0.0498631    -0.0270044   0.00390808   -0.00393695 
12.5     0.0617104    -0.0255174   0.00440691   -0.00609711 
15     0.0731783    -0.023705   0.00459282   -0.00868393 
17.5     0.084214    -0.0215731   0.00440518   -0.011672 
20     0.0947683    -0.0191301   0.003788   -0.0150279 
22.5     0.104779    -0.0163808   0.00268699   -0.0187189 
25     0.114176    -0.0133339   0.0010502   -0.0227052 
27.5     0.12286    -0.00999495   -0.00117491   -0.0269452 
30     0.130704    -0.0063675   -0.00403626   -0.031392 
32.5     0.137548    -0.0024572   -0.00758292   -0.0359969 
35     0.14319    0.00172605   -0.0118663   -0.0407098 
37.5     0.147396    0.00616244   -0.016932   -0.0454799 
40     0.149897    0.0108159   -0.0228279   -0.0502601 
42.5     0.150399    0.015632   -0.029595   -0.0550091 
45     0.148593    0.0205259   -0.0372691   -0.0596951 
47.5     0.144164    0.0253858   -0.0458751   -0.0643021 
50     0.136809    0.0300718   -0.0554268   -0.0688259 
52.5     0.126248    0.0344114   -0.0659213   -0.0732839 
55     0.11224    0.0382099   -0.0773338   -0.0777099 
57.5     0.0946037    0.041247   -0.0896221   -0.0821552 
60     0.073232    0.0432799   -0.102715   -0.0866912 
62.5     0.0481068    0.0440429   -0.116511   -0.0913969 
65     0.0193288    0.0432509   -0.130877   -0.0963598 
67.5     -0.0128769    0.0405992   -0.14564   -0.101664 
70     -0.0481328    0.0357761   -0.160588   -0.107378 
72.5     -0.085908    0.0284731   -0.17547   -0.113541 
75     -0.125511    0.0184074   -0.190004   -0.120157 
77.5     -0.166109    0.0053429   -0.203891   -0.127177 
80     -0.206758    -0.010893   -0.216829   -0.1345 
82.5     -0.246459    -0.0303851   -0.22853   -0.141972 
85     -0.284213    -0.0531271   -0.238739   -0.149387 
87.5     -0.319091    -0.0790164   -0.247242   -0.156511 
90     -0.350292    -0.107861   -0.253869   -0.16309 
92.5     -0.377179    -0.139382   -0.258495   -0.168873 
95     -0.3993    -0.173227   -0.261034   -0.173635 
97.5     -0.416378    -0.208978   -0.261424   -0.177192 
100     -0.428283    -0.246147   -0.259626   -0.179419 
102.5     -0.434994    -0.284193   -0.255605   -0.180264 
105     -0.436547    -0.322504   -0.249316   -0.179755 
107.5     -0.432996    -0.360385   -0.240697   -0.178015 
110     -0.424359    -0.39702   -0.229647   -0.175275 
112.5     -0.410584    -0.431406   -0.216027   -0.171898 
115     -0.391509    -0.462258   -0.199671   -0.168403 
117.5     -0.366818    -0.487864   -0.180424   -0.165502 
120     -0.33602    -0.505941   -0.158228   -0.164122 
122.5     -0.298438    -0.513458   -0.133266   -0.165409 
125     -0.253273    -0.506564   -0.106177   -0.170683 
127.5     -0.199796    -0.480718   -0.0783389   -0.18127 
130     -0.137768    -0.431297   -0.0521728   -0.198175 
132.5     -0.0681328    -0.355   -0.0312872   -0.221505 
135     0.00610981    -0.25218   -0.020172   -0.249731 
137.5     0.0793704    -0.129464   -0.0230732   -0.279138 
140     0.144057    -0.000789838   -0.0420721   -0.304124 
142.5     0.192794    0.115358   -0.0753592   -0.318812 
145     0.221278    0.202325   -0.117168   -0.319358 
147.5     0.229812    0.251344   -0.159846   -0.3054 
150     0.222435    0.263164   -0.196641   -0.279669 
152.5     0.204674    0.245172   -0.223379   -0.246362 
155     0.181575    0.207097   -0.238554   -0.209588 
157.5     0.156804    0.157949   -0.242513   -0.172552 
160     0.132591    0.1047   -0.236547   -0.137414 
162.5     0.110061    0.0522099   -0.22226   -0.105475 
165     0.0896224    0.0036218   -0.201226   -0.077444 
167.5     0.0712609    -0.0391348   -0.174856   -0.0536581 
170     0.0547432    -0.0749335   -0.144364   -0.0342409 
172.5     0.0397341    -0.103146   -0.110789   -0.019205 
175     0.0258621    -0.123444   -0.0750232   -0.00851592 
177.5     0.0127427    -0.135668   -0.0378528   -0.00212609 
180     0    -0.139748   -0   0 
